
Source                                    CommandType Synopsis
EventTracingManagement                          Alias Stop-EtwTraceSession [-Name] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Stop-EtwTraceSession -InputObject <Cim…
Dism                                            Alias Remove-AppxProvisionedPackage -PackageName <string> -Online [-AllUsers] [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLevel <LogLev…
Dism                                            Alias Remove-AppProvisionedSharedPackageContainer -Name <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLevel <LogL…
Dism                                            Alias Remove-AppxProvisionedPackage -PackageName <string> -Online [-AllUsers] [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLevel <LogLev…
Provisioning                                    Alias Uninstall-ProvisioningPackage [-PackageId] <string> [-LogsDirectoryPath <string>] [-WprpFile <string>] [-ConnectedDevice] [<CommonParameters>]Uninstall-ProvisioningPackage -PackagePath <string…
Provisioning                                    Alias Uninstall-TrustedProvisioningCertificate [-Thumbprint] <string> [-LogsDirectoryPath <string>] [-WprpFile <string>] [-ConnectedDevice] [<CommonParameters>]
Hyper-V                                         Alias Remove-VMSnapshot [-VMName] <string[]> [[-Name] <string[]>] [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-IncludeAllChildSnapshots] [-AsJob] [-Passth…
Hyper-V                                         Alias Rename-VMSnapshot [-Name] <string> [-VMName] <string> [-NewName] <string> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-Passthru] [-WhatIf] [-Confirm…
Appx                                            Alias 
Hyper-V                                         Alias Restore-VMSnapshot [-Name] <string> [-VMName] <string> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-AsJob] [-Passthru] [-WhatIf] [-Confirm] [<Common…
Appx                                            Alias 
Appx                                            Alias 
Dism                                            Alias Set-AppXProvisionedDataFile -PackageName <string> -CustomDataPath <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] …
EventTracingManagement                          Alias Update-AutologgerConfig [-Name] <string[]> [-BufferSize <uint>] [-ClockType <ClockType>] [-DisableRealtimePersistence <uint>] [-LocalFilePath <string>] [-FileMax <uint>] [-FlushTimer <uint>] […
