
Source                                    CommandType Synopsis
NetworkSwitchManager                         Function Enable-NetworkSwitchFeature -CimSession <CimSession> -FeatureName <int> [-WhatIf] [-Confirm] [<CommonParameters>]Enable-NetworkSwitchFeature -CimSession <CimSession> -Name <string> [-WhatIf] […
NetworkSwitchManager                         Function Enable-NetworkSwitchVlan -CimSession <CimSession> -InstanceId <string> [-WhatIf] [-Confirm] [<CommonParameters>]Enable-NetworkSwitchVlan -CimSession <CimSession> -Name <string> [-WhatIf] [-Con…
Wdac                                         Function Enable-OdbcPerfCounter [-InputObject] <CimInstance#MSFT_OdbcPerfCounter[]> [-PassThru] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]Ena…
Storage                                      Function Enable-PhysicalDiskIdentification [-FriendlyName] <string> [-CimSession <CimSession>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Enable-PhysicalDiskIdentification -UniqueId <string> […
VMDirectStorage                              Function Enable-PhysicalDiskIdentification [-FriendlyName] <string> [-CimSession <CimSession>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Enable-PhysicalDiskIdentification -UniqueId <string> […
PnpDevice                                    Function Enable-PnpDevice [-InstanceId] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Enable-PnpDevice -InputObject <CimIn…
PSDiagnostics                                Function Enable-PSTrace [-Force] [-AnalyticOnly]
PSDiagnostics                                Function Enable-PSWSManCombinedTrace [-DoNotOverwriteExistingTrace]
ScheduledTasks                               Function Enable-ScheduledTask [-TaskName] <string> [[-TaskPath] <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Enable-ScheduledTask [-InputObject] <CimInstan…
SmbShare                                     Function Enable-SmbDelegation [-SmbClient] <string> [-SmbServer] <string> [<CommonParameters>]
StorageBusCache                              Function Enable-StorageBusCache [[-Timeout] <int>] [[-AutoConfig] <bool>] [<CommonParameters>]
StorageBusCache                              Function Enable-StorageBusDisk -Guid <string> [<CommonParameters>]Enable-StorageBusDisk -Number <uint16> [<CommonParameters>]Enable-StorageBusDisk -PhysicalDisk <CimInstance#MSFT_PhysicalDisk> [<Common…
Storage                                      Function Enable-StorageDataCollection -PhysicalDisk <CimInstance#MSFT_PhysicalDisk> -StorageDataCollectionType <StorageDataCollectionType> [<CommonParameters>]Enable-StorageDataCollection -DeviceGuid <…
VMDirectStorage                              Function Start-StorageDiagnosticLog [-StorageSubSystemFriendlyName] <string[]> [-Level <Level>] [-MaxLogSize <ulong>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonPa…
Storage                                      Function Enable-StorageEnclosureIdentification [-FriendlyName] <string[]> [-SlotNumbers <uint[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Enable-Sto…
Storage                                      Function Enable-StorageEnclosurePower [-FriendlyName] <string[]> [-SlotNumbers <uint[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Enable-StorageEnclo…
Storage                                      Function Enable-StorageHighAvailability [-DiskNumber] <uint[]> [-ScaleOut <bool>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Enable-StorageHighAvailabi…
Storage                                      Function Enable-StorageMaintenanceMode -InputObject <CimInstance#MSFT_StorageFaultDomain> [-IgnoreDetachedVirtualDisks] [-ValidateVirtualDisksHealthy <bool>] [-Model <string>] [-Manufacturer <string>] …
Wdac                                         Function Enable-WdacBidTrace [-InputObject] <CimInstance#MSFT_WdacBidTrace[]> [-PassThru] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]Enable-Wd…
WebAdministration                            Function Enable-WebCentralCertProvider -CertStoreLocation <string> -UserName <string> -Password <string> [-PrivateKeyPassword <string>] [<CommonParameters>]
WebAdministration                            Function Enable-WebGlobalModule [-Name] <string> [[-PSPath] <string[]>] [-Type <string>] [-Precondition <string>] [-Force] [-Location <string[]>] [<CommonParameters>]Enable-WebGlobalModule [[-PSPath] <…
WebAdministration                            Function Enable-WebRequestTracing [[-Name] <string>] [-Directory <string>] [-MaxLogFiles <uint32>] [-MaxLogFileSize <uint32>] [-CustomActions] [-StatusCodes <string>] [<CommonParameters>]
PSDiagnostics                                Function Enable-WSManTrace 
Microsoft.PowerShell.Archive                 Function Expand-Archive [-Path] <string> [[-DestinationPath] <string>] [-Force] [-PassThru] [-WhatIf] [-Confirm] [<CommonParameters>]Expand-Archive [[-DestinationPath] <string>] -LiteralPath <string> […
BranchCache                                  Function Export-BCCachePackage [[-StagingPath] <string>] -Destination <string> [-Force] [-OutputReferenceFile <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm]…
BranchCache                                  Function Export-BCSecretKey [-Filename] <string> [-FilePassphrase] <string> [-Force] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-WhatIf] [-Confirm] [<CommonParameters>]
HgsClient                                    Function Export-HgsGuardian [-InputObject] <CimInstance#MSFT_HgsGuardian> [-Path] <string> [<CommonParameters>]
Microsoft.PowerShell.ODataUtils              Function Export-ODataEndpointProxy [-Uri] <string> [-OutputModule] <string> [[-MetadataUri] <string>] [[-Credential] <pscredential>] [[-CreateRequestMethod] <string>] [[-UpdateRequestMethod] <string>] …
ScheduledTasks                               Function Export-ScheduledTask [[-TaskName] <string>] [[-TaskPath] <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Export-ScheduledTask [-InputObject] <CimInst…
VMDirectStorage                              Function Export-VMSnapshot [-Name] <string[]> [-Path] <string> -VMName <string[]> [-CimSession <CimSession[]>] [-ComputerName <string[]>] [-Credential <pscredential[]>] [-AsJob] [-Passthru] [-WhatIf] […
PowerShellEditorServices.Commands            Function Find a specific element in an abstract syntax tree (AST).
PowerShellGet                                Function Find-Command [[-Name] <string[]>] [-ModuleName <string>] [-MinimumVersion <string>] [-MaximumVersion <string>] [-RequiredVersion <string>] [-AllVersions] [-AllowPrerelease] [-Tag <string[]>] […
PowerShellGet                                Function Find-DscResource [[-Name] <string[]>] [-ModuleName <string>] [-MinimumVersion <string>] [-MaximumVersion <string>] [-RequiredVersion <string>] [-AllVersions] [-AllowPrerelease] [-Tag <string[]…
PowerShellGet                                Function Find-Module [[-Name] <string[]>] [-MinimumVersion <string>] [-MaximumVersion <string>] [-RequiredVersion <string>] [-AllVersions] [-IncludeDependencies] [-Filter <string>] [-Tag <string[]>] [-…
NetSecurity                                  Function Find-NetIPsecRule -RemoteAddress <string> [-LocalAddress <string>] [-Protocol <string>] [-LocalPort <ushort>] [-RemotePort <ushort>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob…
NetTCPIP                                     Function Find-NetRoute -RemoteIPAddress <string> [-InterfaceIndex <uint>] [-LocalIPAddress <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
PowerShellGet                                Function Find-RoleCapability [[-Name] <string[]>] [-ModuleName <string>] [-MinimumVersion <string>] [-MaximumVersion <string>] [-RequiredVersion <string>] [-AllVersions] [-AllowPrerelease] [-Tag <strin…
PowerShellGet                                Function Find-Script [[-Name] <string[]>] [-MinimumVersion <string>] [-MaximumVersion <string>] [-RequiredVersion <string>] [-AllVersions] [-IncludeDependencies] [-Filter <string>] [-Tag <string[]>] [-…
VMDirectStorage                              Function Write-VolumeCache [-DriveLetter] <char[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Write-VolumeCache -ObjectId <string[]> [-CimSession <CimS…
Storage                                      Function Format-Volume [-DriveLetter] <char[]> [-FileSystem <string>] [-NewFileSystemLabel <string>] [-AllocationUnitSize <uint>] [-Full] [-Force] [-Compress] [-ShortFileNameSupport <bool>] [-SetIntegr…
AppBackgroundTask                            Function Get-AppBackgroundTask [-PackageFamilyName <string>] [-IncludeResourceUsage] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
AppLocker                                    Function Get-AppLockerFileInformation [[-Path] <List[string]>] [<CommonParameters>]Get-AppLockerFileInformation [[-Packages] <List[AppxPackage]>] [<CommonParameters>]Get-AppLockerFileInformation -Direc…
AppLocker                                    Function Get-AppLockerPolicy -Local [-Xml] [<CommonParameters>]Get-AppLockerPolicy -Domain -Ldap <string> [-Xml] [<CommonParameters>]Get-AppLockerPolicy -Effective [-Xml] [<CommonParameters>]
Appx                                         Function Get-AppSharedPackageContainer [[-Name] <string>] [[-Id] <string>] [-AllUsers] [<CommonParameters>]
AppvClient                                   Function Get-AppvClientApplication [[-Name] <string>] [[-Version] <string>] [-All] [<CommonParameters>]
AppvClient                                   Function Get-AppvClientConfiguration [[-Name] <string>] [<CommonParameters>]
AppvClient                                   Function Get-AppvClientConnectionGroup [[-Name] <string>] [-All] [<CommonParameters>]Get-AppvClientConnectionGroup [-GroupId] <guid> [[-VersionId] <guid>] [-All] [<CommonParameters>]
AppvClient                                   Function Get-AppvClientMode [<CommonParameters>]
AppvClient                                   Function Get-AppvClientPackage [[-Name] <string>] [[-Version] <string>] [-All] [<CommonParameters>]Get-AppvClientPackage [-PackageId] <guid> [[-VersionId] <guid>] [-All] [<CommonParameters>]
AppvClient                                   Function Get-AppvPublishingServer [[-ServerId] <uint32>] [<CommonParameters>]Get-AppvPublishingServer [[-Name] <string>] [[-URL] <string>] [<CommonParameters>]
AppvClient                                   Function Get-AppvStatus [<CommonParameters>]
AppvClient                                   Function Get-AppvVirtualProcess [[-Name] <string[]>] [-ComputerName <string[]>] [-Module] [-FileVersionInfo] [<CommonParameters>]Get-AppvVirtualProcess -Id <int[]> [-ComputerName <string[]>] [-Module] …
Appx                                         Function 
Appx                                         Function 
Appx                                         Function 
Appx                                         Function 
Appx                                         Function 
Appx                                         Function 
Appx                                         Function 
AssignedAccess                               Function Get-AssignedAccess [<CommonParameters>]
EventTracingManagement                       Function Get-AutologgerConfig [[-Name] <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCClientConfiguration [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCContentServerConfiguration [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCDataCache [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCDataCacheExtension [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCHashCache [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCHostedCacheServerConfiguration [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCNetworkConfiguration [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BranchCache                                  Function Get-BCStatus [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
BitLocker                                    Function Get-BitLockerVolume [[-MountPoint] <string[]>] [<CommonParameters>]
ConfigCI                                     Function Get-CIPolicy [-FilePath] <string> [<CommonParameters>]
ConfigCI                                     Function Get-CIPolicyIdInfo [-FilePath] <string> [<CommonParameters>]
ConfigCI                                     Function Get-CIPolicyInfo [<CommonParameters>]
ScheduledTasks                               Function Get-ClusteredScheduledTask [[-TaskName] <string>] [[-Cluster] <string>] [[-TaskType] <ClusterTaskTypeEnum>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
HostComputeService                           Function Get-ComputeProcess [[-Name] <string[]>] [-Owner <string[]>] [-Type <ComputeProcessType[]>] [<CommonParameters>]Get-ComputeProcess [-Id] <string[]> [<CommonParameters>]
PowerShellGet                                Function Get-CredsFromCredentialProvider [[-SourceLocation] <uri>] [[-isRetry] <bool>] [<CommonParameters>]
DirectAccessClientComponents                 Function Get-DAClientExperienceConfiguration [-PolicyStore <string>] [-GPOSession <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
NetworkConnectivityStatus                    Function Get-DAConnectionStatus [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DirectAccessClientComponents                 Function Get-DAEntryPointTableItem [-EntryPointName <string[]>] [-State <State[]>] [-PolicyStore <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-DAEntryPo…
Storage                                      Function Get-DedupProperties [-DriveLetter] <char[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-DedupProperties -ObjectId <string[]> [-CimSession <CimSession[]…
DeliveryOptimization                         Function 
DeliveryOptimization                         Function 
DeliveryOptimization                         Function 
Storage                                      Function Get-Disk [[-Number] <uint[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-Disk [-UniqueId <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int…
Storage                                      Function Get-DiskImage [-ImagePath] <string[]> [-StorageType <StorageType>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-DiskImage [-Volume <CimInstance#MSFT_Vol…
VMDirectStorage                              Function Get-DiskStorageNodeView [[-StorageNode] <CimInstance#MSFT_StorageNode>] [[-Disk] <CimInstance#MSFT_Disk>] [[-CimSession] <CimSession>] [<CommonParameters>]
Storage                                      Function Get-DiskStorageNodeView [[-StorageNode] <CimInstance#MSFT_StorageNode>] [[-Disk] <CimInstance#MSFT_Disk>] [[-CimSession] <CimSession>] [<CommonParameters>]
DnsClient                                    Function Get-DnsClient [[-InterfaceAlias] <string[]>] [-InterfaceIndex <uint[]>] [-ConnectionSpecificSuffix <string[]>] [-RegisterThisConnectionsAddress <bool[]>] [-UseSuffixWhenRegistering <bool[]>] […
DnsClient                                    Function Get-DnsClientCache [[-Entry] <string[]>] [-Name <string[]>] [-Type <Type[]>] [-Status <Status[]>] [-Section <Section[]>] [-TimeToLive <uint[]>] [-DataLength <ushort[]>] [-Data <string[]>] [-Ci…
DnsClient                                    Function Get-DnsClientDohServerAddress [[-ServerAddress] <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DnsClient                                    Function Get-DnsClientGlobalSetting [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DnsClient                                    Function Get-DnsClientNrptGlobal [-Server <string>] [-GpoName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DnsClient                                    Function Get-DnsClientNrptPolicy [[-Namespace] <string>] [-Effective] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DnsClient                                    Function Get-DnsClientNrptRule [[-Name] <string[]>] [-GpoName <string>] [-Server <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
DnsClient                                    Function Get-DnsClientServerAddress [[-InterfaceAlias] <string[]>] [-InterfaceIndex <uint[]>] [-AddressFamily <AddressFamily[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonPar…
DeliveryOptimization                         Function 
DeliveryOptimization                         Function 
DeliveryOptimization                         Function 
DeliveryOptimization                         Function 
PSDesiredStateConfiguration                  Function 
PSDesiredStateConfiguration                  Function 
PSDesiredStateConfiguration                  Function 
PSDesiredStateConfiguration                  Function Get-DscResource [[-Name] <string[]>] [[-Module] <Object>] [-Syntax] [<CommonParameters>]
MsDtc                                        Function Get-Dtc [-DtcName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcAdvancedHostSetting -Name <string> [-Subkey <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcAdvancedSetting -Name <string> [-DtcName <string>] [-Subkey <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcClusterDefault [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcClusterTMMapping [-Name <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcDefault [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcLog [-DtcName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcNetworkSetting [-DtcName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcTransaction [-DtcName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcTransactionsStatistics [-DtcName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcTransactionsTraceSession [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MsDtc                                        Function Get-DtcTransactionsTraceSetting [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
EventTracingManagement                       Function Get-EtwTraceProvider [[-Guid] <string[]>] [-AutologgerName <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-EtwTraceProvider [[-Guid] <string[]>…
EventTracingManagement                       Function Get-EtwTraceSession [-Name] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Storage                                      Function Get-FileIntegrity [-FileName] <string> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Storage                                      Function Get-FileShare [-Name <string[]>] [-Protocol <FileSharingProtocol[]>] [-FileServer <CimInstance#MSFT_FileServer>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters…
Storage                                      Function Get-FileShareAccessControlEntry -Name <string[]> [-FileServer <CimInstance#MSFT_FileServer>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-FileShareAcces…
Storage                                      Function Get-FileStorageTier -VolumeDriveLetter <char> [-PinnedState <PinnedState>] [-PinnedStorageTierClass <StorageTierClass>] [-AllocatedStorageTierClass <StorageTierClass>] [-CimSession <CimSession…
HgsClient                                    Function Get-HgsClientConfiguration [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
HgsClient                                    Function Get-HgsClientHostKey [<CommonParameters>]Get-HgsClientHostKey [-Path <string>] [-Force] [<CommonParameters>]
HgsClient                                    Function Get-HgsGuardian [[-Name] <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
HostNetworkingService                        Function Get-HnsEndpoint [[-Id] <string>] [<CommonParameters>]
HostNetworkingService                        Function Get-HnsNamespace [[-Id] <string>] [<CommonParameters>]
HostNetworkingService                        Function Get-HnsNetwork [[-Id] <string>] [-Detailed] [<CommonParameters>]
HostNetworkingService                        Function Get-HnsPolicyList [[-Id] <string>] [<CommonParameters>]
Storage                                      Function Get-InitiatorId [[-InitiatorAddress] <string[]>] [-HostType <HostType[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-InitiatorId [-UniqueId <string[]>…
Storage                                      Function Get-InitiatorPort [[-NodeAddress] <string[]>] [-ConnectionType <ConnectionType[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-InitiatorPort [-ObjectId…
PowerShellGet                                Function Get-InstalledModule [[-Name] <string[]>] [-MinimumVersion <string>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-AllVersions] [-AllowPrerelease] [<CommonParameters>]
PowerShellGet                                Function Get-InstalledScript [[-Name] <string[]>] [-MinimumVersion <string>] [-RequiredVersion <string>] [-MaximumVersion <string>] [-AllowPrerelease] [<CommonParameters>]
iSCSI                                        Function Get-IscsiConnection [-ConnectionIdentifier <string[]>] [-InitiatorPortalPortNumber <uint16[]>] [-InititorIPAdressListNumber <uint16[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-As…
iSCSI                                        Function Get-IscsiSession [<CommonParameters>]Get-IscsiSession [-SessionIdentifier <string[]>] [-TargetSideIdentifier <string[]>] [-NumberOfConnections <uint32[]>] [-CimSession <CimSession[]>] [-Thrott…
iSCSI                                        Function Get-IscsiTarget [-NodeAddress <string[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-IscsiTarget [-IscsiConnection <CimInstance#MSFT_iSCSIConnection>]…
iSCSI                                        Function Get-IscsiTargetPortal [[-TargetPortalAddress] <string[]>] [-InitiatorPortalAddress <string[]>] [-InitiatorInstanceName <string[]>] [-TargetPortalPortNumber <uint16[]>] [-IsHeaderDigest <bool[]…
ISE                                          Function Get-IseSnippet 
PSDiagnostics                                Function Get-LogProperties [-Name] <Object> [<CommonParameters>]
Storage                                      Function Get-MaskingSet [[-FriendlyName] <string[]>] [-HostType <HostType[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-MaskingSet [-UniqueId <string[]>] [-Ci…
MMAgent                                      Function Get-MMAgent [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Pester                                       Function This command is used by Pester's Mocking framework. You do not need to call it directly.
ConfigDefender                               Function Get-MpComputerStatus [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Get-MpComputerStatus [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
ConfigDefenderPerformance                    Function This cmdlet reports the file paths, file extensions, and processes that causethe highest impact to Microsoft Defender Antivirus scans.
ConfigDefender                               Function Get-MpPreference [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Get-MpPreference [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
ConfigDefender                               Function Get-MpThreat [<CommonParameters>]Get-MpThreat [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Get-MpThreat [<CommonParameters>]Get-MpThreat [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
ConfigDefender                               Function Get-MpThreatCatalog [<CommonParameters>]Get-MpThreatCatalog [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Get-MpThreatCatalog [<CommonParameters>]Get-MpThreatCatalog [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
ConfigDefender                               Function Get-MpThreatDetection [<CommonParameters>]Get-MpThreatDetection [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
Defender                                     Function Get-MpThreatDetection [<CommonParameters>]Get-MpThreatDetection [-ThreatID <long[]>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
MSMQ                                         Function Get-MsmqCertificate [[-ComputerName] <string>] [<CommonParameters>]
MSMQ                                         Function Get-MsmqOutgoingQueue [[-Name] <string[]>] [<CommonParameters>]
MSMQ                                         Function Get-MsmqQueue [[-Name] <string[]>] [-QueueType <QueueType>] [<CommonParameters>]Get-MsmqQueue [[-Name] <string[]>] [-QueueType <QueueType>] [-Journal] [<CommonParameters>]Get-MsmqQueue [[-Name…
MSMQ                                         Function Get-MsmqQueueACL [-InputObject] <MessageQueue[]> [<CommonParameters>]
MSMQ                                         Function Get-MsmqQueueManager [<CommonParameters>]
MSMQ                                         Function Get-MsmqQueueManagerACL [<CommonParameters>]
NetworkConnectivityStatus                    Function Get-NCSIPolicyConfiguration [-PolicyStore <string>] [-GPOSession <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
NetworkTransition                            Function Get-Net6to4Configuration [-IPInterface <CimInstance#MSFT_NetIPInterface>] [-PolicyStore <string>] [-GPOSession <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonPa…
NetAdapter                                   Function Get-NetAdapter [[-Name] <string[]>] [-IncludeHidden] [-Physical] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapter -InterfaceDescription <string[]…
NetAdapter                                   Function Get-NetAdapterAdvancedProperty [[-Name] <string[]>] [-IncludeHidden] [-AllProperties] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterAdvancedPro…
NetAdapter                                   Function Get-NetAdapterBinding [[-Name] <string[]>] [-ComponentID <string[]>] [-DisplayName <string[]>] [-IncludeHidden] [-AllBindings] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<Co…
NetAdapter                                   Function Get-NetAdapterChecksumOffload [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterChecksumOffload -InterfaceDes…
NetAdapter                                   Function Get-NetAdapterDataPathConfiguration [[-Name] <string[]>] [-Profile <string[]>] [-ProfileSource <uint[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonP…
NetAdapter                                   Function Get-NetAdapterEncapsulatedPacketTaskOffload [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterEncapsulatedPac…
NetAdapter                                   Function Get-NetAdapterHardwareInfo [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterHardwareInfo -InterfaceDescripti…
NetAdapter                                   Function Get-NetAdapterIPsecOffload [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterIPsecOffload -InterfaceDescripti…
NetAdapter                                   Function Get-NetAdapterLso [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterLso -InterfaceDescription <string[]> [-In…
NetAdapter                                   Function Get-NetAdapterPacketDirect [[-Name] <string[]>] [-IncludeHidden] [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Get-NetAdapterPacketDirect -InterfaceDescripti…
